"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL730";"NITROGLYCERIN";"C01DA02|CHLORMETHINE OXIDE HYDROCHLORIDE|CORO-NITRO|DEPONIT 10|DEPONIT 5|DILUTED NITROGLYCERIN|GLONOINUM|GLYCERYL TRINITRATE|GLYCERYL TRINITRATE SOLUTION|GLYTRIN|GONITRO|Glyceryl Trinitrate|IMX-150|LENITRAL 7.5|MECHLORETHAMINE OXIDE HCL|MINITRAN|MINITRAN 10|MINITRAN 15|MINITRAN 5|MITOMEN|MUSTRON|NATIROSE|NITORA|NITRIDERM TTS|NITRO IV|NITRO-BID|NITRO-DUR|NITRO-MACK RET|NITROCINE|NITROCONTIN CONTINUS|NITROGLYCERIN|NITROGLYCERIN TABLETS|NITROL|NITROLINGUAL|NITROLINGUAL PUMPSPRAY|NITROMIN|NITROMIN HYDROCHLORIDE|NITROMIST|NITRONAL|NITROSTAT|Nitroglycerin|PERCUTOL|RECTIV|RECTOGESIC|SUSCARD BUCCAL|SUSTAC|TRANSDERM-NITRO|TRANSIDERM-NITRO 10|TRANSIDERM-NITRO 5|TRIDIL|TRINITRIN|TRINITRIN TABLETS|TRINITRINE|TRINTEK 10|TRINTEK 15|TRINTEK 5|Transderm-Nitro";"C01DA02";"4.0";"Luitpold Pharmaceuticals Inc|International Medication Systems Ltd|Rorer Pharmaceutical Corp Sub Rorer Group|Mylan Technologies Inc|Uspharma Ltd|Glenmark Pharmaceuticals Sa Switzerland|Dr Reddys Laboratories Inc|Lannett Co Inc|Baxter Healthcare Corp|American Regent Inc";"";"";"";"";"1981";"C01DA52 | C05AE01 | C01DA02";"C01DA - Organic nitrates | C05AE - Muscle relaxants | C01DA - Organic nitrates";"C01D - VASODILATORS USED IN CARDIAC DISEASES | C05A - AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE | C01D - VASODILATORS USED IN CARDIAC DISEASES";"C01 - CARDIAC THERAPY | C05 - VASOPROTECTIVES | C01 - CARDIAC THERAPY";"C - CARDIOVASCULAR SYSTEM | C - CARDIOVASCULAR SYSTEM | C - CARDIOVASCULAR SYSTEM";"Vasodilator (coronary)";"US-7872049-B2";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"1";"1";"1";"Prescription Only";"O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]";"InChI=1S/C3H5N3O9/c7-4(8)13-1-3(15-6(11)12)2-14-5(9)10/h3H,1-2H2";"False";"0"
"CHEMBL48361";"DABIGATRAN";"BIBR 953 ZW|BIBR-953|BIBR-953-ZW|DABIGATRAN|PRADAXA|PRADAXA (DABIGATRAN)";"BIBR 953 ZW|BIBR-953|BIBR-953-ZW";"3.0";"";"'-gatran'";"2008";"thrombin inhibitors (argatroban type)";"'-gatran(-gatran)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21";"InChI=1S/C25H25N7O3/c1-31-20-10-7-17(25(35)32(13-11-23(33)34)21-4-2-3-12-28-21)14-19(20)30-22(31)15-29-18-8-5-16(6-9-18)24(26)27/h2-10,12,14,29H,11,13,15H2,1H3,(H3,26,27)(H,33,34)";"False";"0"
"CHEMBL492";"ETIDOCAINE";"ETIDOCAINA|ETIDOCAINE|Etidocaine|W-19053|W-19053 [AS HYDROCHLORIDE]";"W-19053|W-19053 [AS HYDROCHLORIDE]";"4.0";"Dentsply Pharmaceutical|Astrazeneca Lp";"'-caine'";"1973";"local anesthetics";"'-caine(-caine)'";"1976";"N01BB57 | N01BB07";"N01BB - Amides | N01BB - Amides";"N01B - ANESTHETICS, LOCAL | N01B - ANESTHETICS, LOCAL";"N01 - ANESTHETICS | N01 - ANESTHETICS";"N - NERVOUS SYSTEM | N - NERVOUS SYSTEM";"Anesthetic (local)";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"1";"0";"0";"Discontinued";"CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C";"InChI=1S/C17H28N2O/c1-6-12-19(8-3)15(7-2)17(20)18-16-13(4)10-9-11-14(16)5/h9-11,15H,6-8,12H2,1-5H3,(H,18,20)";"False";"0"
"CHEMBL878";"METOLAZONE";"DIULO|METAZOLINE|METENIX|METOLAZONA|METOLAZONE|METOZALONE|MYKROX|NORMELAN|NSC-759581|OLDREN|SR 720-22|SR-720-22|XURET|ZAROXOLYN";"NSC-759581|SR 720-22|SR-720-22";"4.0";"Mylan Pharmaceuticals Inc|Innogenix Llc|Watson Laboratories Inc|Roxane Laboratories Inc|Ani Pharmaceuticals Inc|Alembic Pharmaceuticals Ltd|Rubicon Research Private Ltd|Ne Rx Pharma Llc|Renata Ltd|Bayshore Pharmaceuticals Llc";"";"1968";"";"";"1973";"C03BA08";"C03BA - Sulfonamides, plain";"C03B - LOW-CEILING DIURETICS, EXCL. THIAZIDES";"C03 - DIURETICS";"C - CARDIOVASCULAR SYSTEM";"Antihypertensive; Diuretic";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"0";"Prescription Only";"Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C";"InChI=1S/C16H16ClN3O3S/c1-9-5-3-4-6-14(9)20-10(2)19-13-8-12(17)15(24(18,22)23)7-11(13)16(20)21/h3-8,10,19H,1-2H3,(H2,18,22,23)";"False";"0"
"CHEMBL3975522";"EBOPIPRANT";"EBOPIPRANT|OBE-022|OBE022";"OBE-022|OBE022";"2.0";"";"'-piprant'";"";"prostaglandin receptor antagonists, non prostinoid structure";"'-piprant(-piprant)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CC(C)[C@H](N)C(=O)OCC[C@H](NC(=O)[C@@H]1SCCN1S(=O)(=O)c1ccc(-c2ccccc2)cc1)c1ccc(F)cc1";"InChI=1S/C30H34FN3O5S2/c1-20(2)27(32)30(36)39-18-16-26(23-8-12-24(31)13-9-23)33-28(35)29-34(17-19-40-29)41(37,38)25-14-10-22(11-15-25)21-6-4-3-5-7-21/h3-15,20,26-27,29H,16-19,32H2,1-2H3,(H,33,35)/t26-,27-,29-/m0/s1";"False";"0"
"CHEMBL551064";"AEW-541";"AEW 541|AEW-541|NVP-AEW 541|NVP-AEW541";"AEW 541|NVP-AEW 541|NVP-AEW541";"1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@H](N2CCC2)C1";"InChI=1S/C26H27N5O/c27-25-24-23(19-8-4-9-22(12-19)32-16-18-6-2-1-3-7-18)15-31(26(24)29-17-28-25)21-13-20(14-21)30-10-5-11-30/h1-4,6-9,12,15,17,20-21H,5,10-11,13-14,16H2,(H2,27,28,29)/t20-,21-";"False";"0"
"CHEMBL2354444";"PIRARUBICIN";"ADRIAMYCIN, TETRAHYDROPYRANYL|PIRARUBICIN|PIRARUBICINA|PIRARUBICINE|THEPRUBICIN|THP-ADM";"";"3.0";"";"'-rubicin'";"";"antineoplastic antibiotics (daunorubicin type)";"'-rubicin(-rubicin)'";"";"L01DB08";"L01DB - Anthracyclines and related substances";"L01D - CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@@H]2CCCCO2)[C@H](C)O1";"InChI=1S/C32H37NO12/c1-14-31(45-21-8-3-4-9-42-21)17(33)10-22(43-14)44-19-12-32(40,20(35)13-34)11-16-24(19)30(39)26-25(28(16)37)27(36)15-6-5-7-18(41-2)23(15)29(26)38/h5-7,14,17,19,21-22,31,34,37,39-40H,3-4,8-13,33H2,1-2H3/t14-,17-,19-,21+,22-,31+,32-/m0/s1";"False";"0"
"CHEMBL2151570";"ABT-107";"ABT-107|ABT-107 FREE BASE|ABT-PR1";"ABT-PR1";"1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"c1cc2cc(-c3ccc(O[C@H]4CN5CCC4CC5)nn3)ccc2[nH]1";"InChI=1S/C19H20N4O/c1-2-16-15(5-8-20-16)11-14(1)17-3-4-19(22-21-17)24-18-12-23-9-6-13(18)7-10-23/h1-5,8,11,13,18,20H,6-7,9-10,12H2/t18-/m0/s1";"False";"0"
"CHEMBL3545321";"NMS-1116354";"NMS-1116354";"";"1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"";"";"False";"0"
"CHEMBL1236802";"XENON";"XENON|Xenon";"";"4.0";"Polarean Inc|Lantheus Medical Imaging Inc|General Electric Co|Mallinckrodt Inc|Curium Us Llc|Mallinckrodt Medical Inc|Ge Healthcare";"";"1971";"";"";"1982";"N01AX15";"N01AX - Other general anesthetics";"N01A - ANESTHETICS, GENERAL";"N01 - ANESTHETICS";"N - NERVOUS SYSTEM";"Diagnostic Aid; Radioactive Agent; Gas, Medicinal,Radioactive Agent";"US-10583205-B2";"9:Inorganic";"0";"1";"Achiral Molecule";"0";"0";"1";"1";"0";"Prescription Only";"[Xe]";"InChI=1S/Xe";"False";"0"
